"scientific_name","common_name"
"Antennaria plantaginifolia","plantain-leaved pussytoes"
"Clematis virginiana","virgin's-bower"
"Clethra alnifolia","Sweet Pepperbush"
"Crataegus chrysocarpa","fireberry hawthorn"
"Galium triflorum","fragrant bedstraw"
"Glechoma hederacea","ground-ivy"
"Heracleum maximum","common cowparsnip"
"Lilium canadense","Canada lily"
"Plantago lanceolata","ribwort plantain"
"Ranunculus abortivus","small-flowered buttercup"
"Ranunculus recurvatus","Hooked buttercup"
"Rubus setosus","Bristly Blackberry"
"Rumex obtusifolius","broad-leaved dock"
"Sisyrinchium angustifolium","narrow-leaved blue-eyed grass"
"Solanum nigrum","Black Nightshade Complex"
"Solidago hispida","Hairy Goldenrod"
"Solidago squarrosa","squarrose goldenrod"
"Stellaria borealis","Boreal starwort"
"Streptopus amplexifolius","white twisted-stalk"
"Symphyotrichum lanceolatum","panicled aster"
"Symphyotrichum pilosum","hairy white oldfield aster"
"Symphyotrichum undulatum","wavy-leaf aster"
"Veronica arvensis","corn speedwell"
"Viola labradorica","American dog violet"
