"scientific_name","common_name"
"Acer ginnala","Amur Maple"
"Acer platanoides","Norway maple"
"Achillea ptarmica","Sneezewort"
"Aquilegia vulgaris","common columbine"
"Arctium minus","lesser burdock"
"Artemisia stelleriana","Hoary Mugwort"
"Artemisia vulgaris","common mugwort"
"Aruncus dioicus","Goatsbeard"
"Barbarea vulgaris","garden yellowrocket"
"Berberis thunbergii","Japanese barberry"
"Brassica rapa","field mustard"
"Calluna vulgaris","common heather"
"Campanula rapunculoides","Creeping Bellflower"
"Cardamine impatiens","narrow-leaved bittercress"
"Carum carvi","Caraway"
"Centaurea cyanus","Cornflower"
"Chelone lyonii","pink turtlehead"
"Chenopodium album","Common Lambsquarters"
"Cichorium intybus","chicory"
"Cirsium arvense","creeping thistle"
"Cirsium vulgare","Bull Thistle"
"Crataegus monogyna","common hawthorn"
"Daucus carota","Queen Anne's lace"
"Dianthus armeria","Deptford pink"
"Digitalis purpurea","purple foxglove"
"Draba verna","Common Whitlowgrass"
"Epipactis helleborine","Broad-leaved helleborine"
"Euphorbia cyparissias","cypress spurge"
"Euphrasia nemorosa","Common Eyebright"
"Fallopia convolvulus","Black-bindweed"
"Frangula alnus","glossy buckthorn"
"Galium mollugo","Hedge Bedstraw"
"Galium verum","Lady's Bedstraw"
"Genista tinctoria","Dyer's Greenweed"
"Geranium robertianum","Herb Robert"
"Glechoma hederacea","ground-ivy"
"Hesperis matronalis","dame's rocket"
"Hieracium lachenalii","common hawkweed"
"Hieracium murorum","Wall hawkweed"
"Hypericum perforatum","Common St. John's Wort"
"Hypericum prolificum","shrubby St. John's-wort"
"Jacobaea vulgaris","ragwort"
"Lapsana communis","nipplewort"
"Lepidium campestre","field peppergrass"
"Leucanthemum vulgare","oxeye daisy"
"Linaria vulgaris","common toadflax"
"Lonicera japonica","Japanese honeysuckle"
"Lonicera morrowii","Morrow's honeysuckle"
"Lotus corniculatus","bird's-foot trefoil"
"Lupinus polyphyllus","Large-leaved lupine"
"Lysimachia punctata","Dotted Loosestrife"
"Lythrum salicaria","purple loosestrife"
"Malva moschata","musk mallow"
"Matricaria discoidea","pineapple-weed"
"Medicago lupulina","Black Medick"
"Melilotus officinalis","Yellow Sweetclover"
"Mycelis muralis","Wall Lettuce"
"Myosotis scorpioides","water forget-me-not"
"Myosotis stricta","blue forget-me-not"
"Persicaria hydropiper","waterpepper"
"Persicaria maculosa","Lady's Thumb"
"Physocarpus opulifolius","common ninebark"
"Pimpinella saxifraga","Burnet-saxifrage"
"Plantago major","greater plantain"
"Polygonum aviculare","Prostrate Knotweed"
"Populus alba","white poplar"
"Portulaca oleracea","Common Purslane"
"Potentilla argentea","Silvery Cinquefoil"
"Potentilla recta","sulphur cinquefoil"
"Prunella vulgaris","common selfheal"
"Ranunculus acris","meadow buttercup"
"Ranunculus recurvatus","Hooked buttercup"
"Ranunculus repens","Creeping buttercup"
"Raphanus raphanistrum","Wild radish"
"Robinia pseudoacacia","black locust"
"Rosa canina","Dog-rose"
"Rosa multiflora","multiflora rose"
"Rosa rugosa","rugosa rose"
"Rosa spinosissima","Burnet Rose"
"Rumex acetosella","Sheep's sorrel"
"Rumex crispus","curly dock"
"Rumex longifolius","Northern Dock"
"Rumex obtusifolius","broad-leaved dock"
"Saponaria officinalis","common soapwort"
"Scrophularia nodosa","Common Figwort"
"Senecio sylvaticus","Heath Groundsel"
"Silene vulgaris","bladder campion"
"Sisymbrium officinale","Hedge mustard"
"Solanum dulcamara","bittersweet nightshade"
"Solanum nigrum","Black Nightshade Complex"
"Sonchus arvensis","Perennial Sow Thistle"
"Sonchus asper","prickly sowthistle"
"Sonchus oleraceus","Common Sow-thistle"
"Sorbus aucuparia","European mountain ash"
"Spergularia rubra","Red Sand Spurrey"
"Stellaria graminea","lesser stitchwort"
"Stellaria media","common chickweed"
"Tanacetum vulgare","tansy"
"Thymus pulegioides","Large Thyme"
"Tilia cordata","Little-leaf Linden"
"Tilia platyphyllos","Bigleaf Linden"
"Tragopogon pratensis","meadow salsify"
"Trifolium arvense","rabbitfoot clover"
"Trifolium aureum","large hop clover"
"Trifolium campestre","hop trefoil"
"Trifolium hybridum","Alsike clover"
"Trifolium pratense","Red Clover"
"Trifolium repens","white clover"
"Tussilago farfara","colt's-foot"
"Urtica dioica",""
"Valeriana officinalis","common valerian"
"Verbascum thapsus","great mullein"
"Veronica arvensis","corn speedwell"
"Veronica chamaedrys","Germander Speedwell"
"Veronica officinalis","heath speedwell"
"Veronicastrum virginicum","Culver's root"
"Vicia cracca","tufted vetch"
"Vicia tetrasperma","Smooth tare"
